time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2022-07-24T06:01:10.00Z,56.1832942,9.0425953,111.093,0.07,0.08,0.06,103.845,95.307,0.72,0.00000,180.00000,3,4
2022-07-24T06:01:10.20Z,56.1832933,9.0425901,111.162,0.17,-0.10,0.21,67.181,65.023,1.45,0.00000,180.00000,3,4
2022-07-24T06:01:10.40Z,56.1833270,9.0425074,109.767,0.00,0.00,0.08,59.670,66.624,1.27,0.00000,180.00000,3,5
2022-07-24T06:01:10.60Z,56.1833349,9.0424930,109.098,0.00,-0.07,0.07,52.664,60.795,1.03,0.00000,180.00000,3,5
2022-07-24T06:01:10.80Z,56.1833032,9.0424816,105.619,-0.05,0.03,-0.03,42.077,52.086,0.52,0.00000,180.00000,3,6
2022-07-24T06:01:11.00Z,56.1832873,9.0424744,103.670,-0.10,-0.02,-0.02,35.959,46.519,0.67,0.00000,180.00000,3,6
2022-07-24T06:01:11.20Z,56.1832757,9.0424752,101.874,0.05,0.02,0.08,31.880,43.501,0.57,0.00000,180.00000,3,7
2022-07-24T06:01:11.40Z,56.1832677,9.0424757,100.721,-0.04,0.00,0.01,28.844,40.812,0.78,0.00000,180.00000,3,7
2022-07-24T06:01:11.60Z,56.1832607,9.0424747,99.781,0.09,0.02,0.01,26.474,38.662,0.57,0.00000,180.00000,3,7
2022-07-24T06:01:11.80Z,56.1832543,9.0424703,98.805,-0.05,0.02,0.01,24.314,37.206,0.63,0.00000,180.00000,3,8
2022-07-24T06:01:12.00Z,56.1832491,9.0424678,98.010,-0.01,-0.05,-0.04,22.592,35.530,0.35,0.00000,180.00000,3,8
2022-07-24T06:01:12.20Z,56.1832488,9.0424665,97.145,0.07,-0.01,-0.04,21.257,34.546,0.72,0.00000,180.00000,3,9
2022-07-24T06:01:12.40Z,56.1832136,9.0424180,107.452,-0.03,-0.01,-0.01,19.807,31.986,0.37,0.00000,180.00000,3,10
2022-07-24T06:01:12.60Z,56.1831955,9.0423737,104.247,-0.02,-0.04,0.02,18.724,30.950,0.58,0.00000,180.00000,3,11
2022-07-24T06:01:12.80Z,56.1831879,9.0423483,99.347,-0.03,0.00,0.00,17.914,29.942,0.46,0.00000,180.00000,3,11
2022-07-24T06:01:13.00Z,56.1832957,9.0423882,98.503,0.03,-0.02,-0.03,22.635,40.219,0.63,0.00000,180.00000,3,12
2022-07-24T06:01:13.20Z,56.1833989,9.0423909,104.250,0.01,-0.03,-0.06,27.609,50.668,0.50,0.00000,180.00000,3,14
2022-07-24T06:01:13.40Z,56.1834897,9.0423961,108.873,0.07,0.04,-0.09,30.321,56.693,0.60,0.00000,180.00000,3,14
2022-07-24T06:01:13.60Z,56.1835598,9.0423990,113.576,0.07,0.02,-0.07,31.694,60.486,0.57,0.00000,180.00000,3,14
2022-07-24T06:01:13.80Z,56.1836153,9.0424012,116.935,0.06,-0.03,-0.11,31.540,60.356,0.52,0.00000,180.00000,3,15
2022-07-24T06:01:14.00Z,56.1836680,9.0424062,120.256,0.09,0.04,-0.16,31.426,60.896,0.53,0.00000,142.11724,3,15
2022-07-24T06:01:14.20Z,56.1837077,9.0424092,123.897,0.07,-0.01,-0.06,31.078,61.103,0.48,0.00000,142.11754,3,15
2022-07-24T06:01:14.40Z,56.1837434,9.0424147,126.145,0.09,-0.03,-0.04,30.698,61.304,0.42,0.00000,142.11782,3,15
2022-07-24T06:01:14.60Z,56.1837753,9.0424198,128.143,-0.02,-0.01,-0.08,30.277,61.240,0.37,0.00000,142.11804,3,15
2022-07-24T06:01:14.80Z,56.1838011,9.0424241,130.261,0.04,-0.03,-0.04,29.805,61.014,0.40,0.00000,142.11830,3,15
2022-07-24T06:01:15.00Z,56.1838247,9.0424294,131.954,0.08,-0.02,-0.06,29.320,60.693,0.44,0.00000,142.11856,3,15
2022-07-24T06:01:15.20Z,56.1838473,9.0424358,133.417,0.08,-0.02,-0.09,28.797,60.213,0.46,0.00000,142.11886,3,15
2022-07-24T06:01:15.40Z,56.1838703,9.0424415,134.428,0.06,-0.06,-0.07,28.442,60.147,0.38,0.00000,142.11912,3,14
2022-07-24T06:01:15.60Z,56.1838893,9.0424449,136.036,0.09,0.05,-0.11,28.068,59.932,0.48,0.00000,142.11942,3,14
2022-07-24T06:01:15.80Z,56.1839032,9.0424468,137.949,0.07,-0.05,-0.11,27.550,59.310,0.42,0.00000,142.11968,3,15
2022-07-24T06:01:16.00Z,56.1839167,9.0424517,138.858,0.06,0.00,-0.13,27.171,59.068,0.46,0.00000,142.11998,3,15
2022-07-24T06:01:16.20Z,56.1839560,9.0424663,138.732,0.07,0.01,-0.15,27.090,59.058,0.47,0.00000,142.12028,3,14
2022-07-24T06:01:16.40Z,56.1839852,9.0424706,141.515,0.06,0.02,-0.07,26.732,58.517,0.47,0.00000,142.12058,3,14
2022-07-24T06:01:16.60Z,56.1839881,9.0424661,144.868,0.07,0.04,-0.09,26.265,58.079,0.47,0.00000,142.12088,3,15
2022-07-24T06:01:16.80Z,56.1839956,9.0424696,145.629,0.04,0.05,-0.06,25.995,57.950,0.45,0.00000,142.12116,3,15
2022-07-24T06:01:17.00Z,56.1840030,9.0424733,146.070,0.00,-0.04,-0.02,25.730,57.795,0.26,0.00000,142.12132,3,15
2022-07-24T06:01:17.20Z,56.1840099,9.0424774,146.309,0.01,0.04,-0.07,25.489,57.629,0.43,0.00000,142.12160,3,15
2022-07-24T06:01:17.40Z,56.1840163,9.0424814,146.610,0.03,0.02,-0.03,25.215,57.406,0.43,0.00000,142.12188,3,15
2022-07-24T06:01:17.60Z,56.1840211,9.0424849,147.037,0.05,0.07,-0.10,24.990,57.279,0.43,0.00000,142.12214,3,15
2022-07-24T06:01:17.80Z,56.1840100,9.0424788,148.818,0.01,0.01,-0.04,24.881,58.064,0.46,0.00000,142.12244,3,16
2022-07-24T06:01:18.00Z,56.1840029,9.0424794,148.151,-0.01,-0.08,0.00,24.683,58.004,0.29,0.00000,142.12260,3,16
2022-07-24T06:01:18.20Z,56.1839978,9.0424812,147.113,0.05,0.02,0.03,24.690,58.442,0.27,0.00000,142.12278,3,15
2022-07-24T06:01:18.40Z,56.1839936,9.0424832,146.132,0.04,0.02,-0.09,24.651,58.692,0.45,0.00000,142.12308,3,15
2022-07-24T06:01:18.60Z,56.1839904,9.0424854,144.955,0.03,0.05,-0.07,24.319,58.238,0.43,0.00000,142.12334,3,16
2022-07-24T06:01:18.80Z,56.1839863,9.0424864,144.173,0.03,-0.02,0.04,24.028,57.878,0.28,0.00000,142.12352,3,16
2022-07-24T06:01:19.00Z,56.1839821,9.0424874,143.315,0.05,0.08,-0.08,23.776,57.556,0.40,0.00000,142.12378,3,16
2022-07-24T06:01:19.20Z,56.1839790,9.0424889,142.586,-0.02,0.02,-0.10,23.531,57.312,0.37,0.00000,142.12402,3,16
2022-07-24T06:01:19.40Z,56.1839751,9.0424894,142.176,0.04,0.02,-0.03,23.319,57.149,0.41,0.00000,142.12428,3,16
2022-07-24T06:01:19.60Z,56.1839722,9.0424904,141.660,0.02,-0.01,-0.09,23.134,56.962,0.40,0.00000,142.12452,3,16
2022-07-24T06:01:19.80Z,56.1839692,9.0424914,141.080,0.02,0.00,0.00,22.970,56.795,0.26,0.00000,142.12468,3,16
2022-07-24T06:01:20.00Z,56.1839665,9.0424927,140.417,-0.01,-0.03,-0.04,22.811,56.615,0.28,0.00000,142.12486,3,16
2022-07-24T06:01:20.20Z,56.1839636,9.0424936,139.884,0.04,0.00,-0.03,22.671,56.507,0.39,0.00000,142.12510,3,16
2022-07-24T06:01:20.40Z,56.1839613,9.0424948,139.344,0.06,0.01,-0.02,22.525,56.399,0.35,0.00000,142.12532,3,16
2022-07-24T06:01:20.60Z,56.1839591,9.0424959,138.783,-0.06,-0.03,0.04,22.386,56.277,0.39,0.00000,142.12558,3,16
2022-07-24T06:01:20.80Z,56.1839564,9.0424965,138.401,0.09,-0.02,-0.01,22.265,56.188,0.29,0.00000,142.12576,3,16
2022-07-24T06:01:21.00Z,56.1839542,9.0424975,137.959,-0.01,0.00,-0.01,22.150,56.105,0.26,0.00000,142.12592,3,16
2022-07-24T06:01:21.20Z,56.1839520,9.0424986,137.446,0.01,0.01,-0.04,22.037,56.020,0.42,0.00000,142.12618,3,16
2022-07-24T06:01:21.40Z,56.1839495,9.0424993,137.026,0.00,-0.01,0.02,21.938,55.964,0.30,0.00000,142.12636,3,16
2022-07-24T06:01:21.60Z,56.1839464,9.0424993,136.750,-0.02,-0.06,0.04,21.773,55.723,0.37,0.00000,142.12660,3,16
