time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-08T15:29:54.00Z,51.0159194,5.5249766,106.415,-0.90,0.46,0.18,315.971,238.911,0.88,153.10050,17.34354,3,6
2023-04-08T15:29:54.20Z,51.0159195,5.5249618,103.210,-0.50,0.58,0.25,152.642,127.616,1.16,153.10050,17.34958,3,6
2023-04-08T15:29:54.40Z,51.0158972,5.5249683,100.028,-0.33,0.51,0.66,141.144,111.506,0.70,153.10050,17.35426,3,7
2023-04-08T15:29:54.60Z,51.0158674,5.5249899,97.968,-0.07,0.65,0.30,109.180,82.088,0.47,153.10050,17.35802,3,8
2023-04-08T15:29:54.80Z,51.0158338,5.5250096,96.292,-1.34,1.01,0.66,87.863,62.793,1.33,150.64356,30.61806,3,8
2023-04-08T15:29:55.00Z,51.0158148,5.5250201,95.638,-2.72,1.89,0.79,69.196,48.862,1.13,145.82146,11.16832,3,8
2023-04-08T15:29:55.20Z,51.0158083,5.5250151,93.736,-2.17,1.13,1.58,57.684,39.145,1.04,148.86082,12.07345,3,8
2023-04-08T15:29:55.40Z,51.0158084,5.5250153,93.071,-2.16,1.44,0.50,48.216,31.878,1.05,147.64464,12.84588,3,9
2023-04-08T15:29:55.60Z,51.0157959,5.5250205,91.438,-0.95,0.86,0.30,42.086,27.598,0.96,146.17960,30.54892,3,7
2023-04-08T15:29:55.80Z,51.0157898,5.5250234,90.275,-0.10,0.53,0.66,36.567,23.942,0.58,146.17960,30.55144,3,9
2023-04-08T15:29:56.00Z,51.0157698,5.5250296,88.766,-0.61,0.75,0.39,32.724,21.131,0.78,138.94550,36.16429,3,8
2023-04-08T15:29:56.20Z,51.0157664,5.5250312,88.206,0.31,0.58,0.73,29.870,18.901,0.57,138.94550,36.16675,3,9
2023-04-08T15:29:56.40Z,51.0157717,5.5250321,87.973,-0.23,0.53,0.59,26.450,17.160,0.57,138.94550,36.16880,3,9
2023-04-08T15:29:56.60Z,51.0157701,5.5250360,87.575,-0.36,0.72,0.70,23.849,15.643,0.56,130.01142,44.59099,3,9
2023-04-08T15:29:56.80Z,51.0157722,5.5250367,87.486,-1.05,0.78,0.12,22.321,14.499,0.86,140.98322,20.19634,3,9
2023-04-08T15:29:57.00Z,51.0157729,5.5250379,87.360,-0.83,0.67,0.36,20.995,13.522,0.80,141.04962,22.81063,3,9
2023-04-08T15:29:57.20Z,51.0157750,5.5250377,87.230,-0.85,0.66,0.71,19.827,12.893,0.85,141.41838,31.45107,3,9
2023-04-08T15:29:57.40Z,51.0157745,5.5250405,87.215,-0.50,0.38,0.79,19.098,12.435,0.88,141.41838,31.45398,3,9
2023-04-08T15:29:57.60Z,51.0157764,5.5250415,87.359,-0.54,0.49,0.52,18.613,12.158,1.09,141.41838,31.45711,3,9
2023-04-08T15:29:57.80Z,51.0157883,5.5250417,88.010,0.50,0.41,0.16,17.443,11.530,0.97,141.41838,31.45987,3,9
2023-04-08T15:29:58.00Z,51.0157966,5.5250434,88.410,0.92,0.45,0.02,16.554,11.051,0.79,89.88340,35.00665,3,9
2023-04-08T15:29:58.20Z,51.0158100,5.5250439,89.295,0.34,0.81,-0.65,15.873,10.649,0.55,89.88340,35.00946,3,9
2023-04-08T15:29:58.40Z,51.0158106,5.5250459,89.429,1.02,0.52,-0.71,15.316,10.420,0.96,51.40892,27.84582,3,9
2023-04-08T15:29:58.60Z,51.0158130,5.5250470,89.415,1.15,0.18,-0.75,14.792,10.046,0.96,22.92073,19.39936,3,9
2023-04-08T15:29:58.80Z,51.0158168,5.5250478,89.577,2.58,0.20,-0.57,14.313,9.780,1.12,6.79000,7.48804,3,9
2023-04-08T15:29:59.00Z,51.0158135,5.5250483,89.195,0.84,0.24,-0.21,13.827,9.402,1.01,7.24627,32.41673,3,9
2023-04-08T15:29:59.20Z,51.0158081,5.5250510,89.019,-0.52,0.68,-0.17,13.463,9.248,0.83,7.24627,32.41915,3,9
2023-04-08T15:29:59.40Z,51.0158064,5.5250533,89.062,0.04,1.05,-0.24,13.264,9.133,0.42,7.24627,32.42215,3,9
2023-04-08T15:29:59.60Z,51.0158013,5.5250557,88.889,0.13,0.56,-0.09,12.883,8.940,0.40,7.24627,32.42375,3,9
2023-04-08T15:29:59.80Z,51.0158039,5.5250556,88.970,1.15,0.67,0.19,12.554,8.799,0.99,19.89749,29.02246,3,9
2023-04-08T15:30:00.00Z,51.0158043,5.5250567,88.862,0.98,0.03,0.09,12.257,8.666,1.21,5.31314,14.66907,3,9
2023-04-08T15:30:00.20Z,51.0157989,5.5250570,88.603,-0.13,0.28,0.02,11.905,8.433,0.59,5.31314,14.67267,3,9
2023-04-08T15:30:00.40Z,51.0157932,5.5250588,88.067,1.68,0.36,0.91,11.580,8.232,0.76,9.58790,11.27669,3,9
2023-04-08T15:30:00.60Z,51.0157936,5.5250608,87.952,0.73,-0.12,0.08,11.280,8.025,0.97,4.70325,19.18544,3,9
2023-04-08T15:30:00.80Z,51.0157936,5.5250603,87.740,1.19,-0.29,0.40,10.950,7.822,0.77,351.09092,11.07067,3,9
2023-04-08T15:30:01.00Z,51.0157950,5.5250596,87.781,0.90,-0.21,-0.19,10.646,7.628,0.83,349.16044,12.93690,3,9
2023-04-08T15:30:01.20Z,51.0157961,5.5250592,87.756,0.75,-0.32,-0.13,10.444,7.497,0.85,346.44208,24.35128,3,9
2023-04-08T15:30:01.40Z,51.0157948,5.5250593,87.596,0.17,-0.09,0.23,10.211,7.361,0.38,346.44208,24.35268,3,9
2023-04-08T15:30:01.60Z,51.0157954,5.5250594,87.554,0.28,-0.02,0.25,9.992,7.223,0.52,349.94576,30.68145,3,9
2023-04-08T15:30:01.80Z,51.0157956,5.5250592,87.439,0.29,-0.05,0.21,9.841,7.103,0.73,350.33676,40.41349,3,9
2023-04-08T15:30:02.00Z,51.0157911,5.5250597,87.140,-0.23,0.27,-0.02,9.628,6.940,0.52,350.33676,40.41466,3,9
2023-04-08T15:30:02.20Z,51.0157842,5.5250612,87.065,0.46,0.01,0.18,9.390,6.791,0.63,357.34464,27.93942,3,9
2023-04-08T15:30:02.40Z,51.0157797,5.5250617,86.875,-0.05,0.08,0.12,9.204,6.655,0.52,357.34464,27.94110,3,9
2023-04-08T15:30:02.60Z,51.0157797,5.5250612,86.792,0.51,-0.01,0.00,9.014,6.526,0.59,358.67248,19.13887,3,9
2023-04-08T15:30:02.80Z,51.0157803,5.5250598,86.724,0.26,-0.06,-0.07,8.839,6.402,0.60,355.17780,27.50077,3,9
