time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-04-15T07:40:55.20Z,50.8518965,3.1408179,128.278,-2.48,2.84,0.52,212.737,122.684,8.54,131.14176,22.10611,3,4
2023-04-15T07:40:55.40Z,50.8518938,3.1408226,128.251,-1.80,1.98,0.27,127.979,89.595,4.98,131.45270,33.38225,3,4
2023-04-15T07:40:55.60Z,50.8518915,3.1408262,128.145,-1.31,1.51,0.29,141.642,98.931,4.78,131.28360,40.80156,3,4
2023-04-15T07:40:55.80Z,50.8518899,3.1408292,128.046,-0.96,1.22,0.21,130.173,90.096,4.51,131.28360,40.81152,3,4
2023-04-15T07:40:56.00Z,50.8518894,3.1408311,127.974,-1.10,1.19,0.33,118.393,77.393,4.17,132.03076,40.06925,3,4
2023-04-15T07:40:56.20Z,50.8518894,3.1408301,128.061,-1.10,1.15,0.29,108.796,68.806,3.78,133.01786,35.54262,3,4
2023-04-15T07:40:56.40Z,50.8518893,3.1408281,128.294,-1.02,0.97,0.11,101.720,62.667,3.37,134.46384,41.93673,3,4
2023-04-15T07:40:56.60Z,50.8518898,3.1408263,128.444,-0.93,0.87,0.09,96.633,58.307,3.23,134.46384,41.94367,3,4
2023-04-15T07:40:56.80Z,50.8518902,3.1408227,128.639,-0.49,0.50,-0.09,91.933,54.815,2.79,134.46384,41.94966,3,4
2023-04-15T07:40:57.00Z,50.8518925,3.1408178,128.924,-0.26,0.21,-0.33,88.154,51.906,1.39,134.46384,41.95263,3,4
2023-04-15T07:40:57.20Z,50.8518655,3.1408886,124.859,-0.05,-0.28,-0.44,76.388,46.482,2.58,134.46384,41.95817,3,5
2023-04-15T07:40:57.40Z,50.8518465,3.1409809,120.240,-0.11,-0.18,-0.46,73.471,44.150,2.13,134.46384,41.96274,3,5
2023-04-15T07:40:57.60Z,50.8518266,3.1410596,116.394,0.14,-0.30,-0.62,70.517,42.178,2.61,134.46384,41.96835,3,5
2023-04-15T07:40:57.80Z,50.8506496,3.1440806,-19.039,-0.12,0.04,-0.39,46.132,33.120,1.16,134.46384,41.97084,3,6
2023-04-15T07:40:58.00Z,50.8503599,3.1447826,-50.384,-0.13,-0.07,-0.32,39.294,31.269,1.15,134.46384,41.97332,3,6
2023-04-15T07:40:58.20Z,50.8502249,3.1450947,-63.689,-0.11,-0.11,-0.17,35.175,29.926,1.06,134.46384,41.97559,3,6
2023-04-15T07:40:58.40Z,50.8501476,3.1452679,-70.762,-0.18,0.01,-0.17,32.227,28.775,1.02,134.46384,41.97777,3,6
2023-04-15T07:40:58.60Z,50.8500972,3.1453755,-75.033,-0.12,-0.03,-0.19,29.962,27.762,1.04,134.46384,41.98001,3,6
2023-04-15T07:40:58.80Z,50.8500586,3.1454558,-78.067,-0.07,0.05,-0.16,28.191,26.904,0.98,134.46384,41.98211,3,6
2023-04-15T07:40:59.00Z,50.8500297,3.1455163,-80.206,-0.13,0.01,-0.09,26.729,26.140,0.90,134.46384,41.98404,3,6
2023-04-15T07:40:59.20Z,50.8500070,3.1455656,-81.952,-0.07,-0.01,-0.12,25.493,25.441,0.98,134.46384,41.98615,3,6
2023-04-15T07:40:59.40Z,50.8499898,3.1456056,-83.556,-0.01,-0.06,-0.10,24.449,24.821,1.15,134.46384,41.98860,3,6
2023-04-15T07:40:59.60Z,50.8499769,3.1456342,-84.453,0.06,-0.13,-0.21,23.534,24.229,1.22,134.46384,41.99121,3,6
2023-04-15T07:40:59.80Z,50.8499693,3.1456644,-86.362,0.00,-0.04,-0.06,22.712,23.773,1.19,134.46384,41.99377,3,6
2023-04-15T07:41:00.00Z,50.8499590,3.1456841,-86.850,0.03,-0.02,-0.14,22.134,23.374,1.12,134.46384,41.99617,3,6
2023-04-15T07:41:00.20Z,50.8499528,3.1457045,-88.062,-0.08,0.03,-0.11,21.681,23.209,0.89,134.46384,41.99807,3,6
2023-04-15T07:41:00.40Z,50.8499485,3.1457173,-88.898,0.07,0.02,-0.05,21.288,23.009,0.87,134.46384,41.99993,3,6
2023-04-15T07:41:00.60Z,50.8499449,3.1457289,-89.681,-0.07,-0.01,-0.08,20.917,22.795,0.86,134.46384,42.00178,3,6
2023-04-15T07:41:00.80Z,50.8499420,3.1457383,-90.398,-0.01,-0.10,-0.06,20.578,22.594,1.09,134.46384,42.00412,3,6
2023-04-15T07:41:01.00Z,50.8499397,3.1457471,-91.102,0.12,-0.03,-0.06,20.267,22.406,1.05,134.46384,42.00638,3,6
2023-04-15T07:41:01.20Z,50.8499380,3.1457529,-91.575,0.16,-0.10,-0.08,20.009,22.250,1.21,134.46384,42.00898,3,6
2023-04-15T07:41:01.40Z,50.8499359,3.1457596,-92.043,0.06,-0.05,-0.03,19.759,22.091,1.26,134.46384,42.01168,3,6
2023-04-15T07:41:01.60Z,50.8499343,3.1457643,-92.468,0.07,-0.14,0.04,19.471,21.898,0.97,134.46384,42.01376,3,6
2023-04-15T07:41:01.80Z,50.8499331,3.1457694,-92.944,0.16,-0.09,-0.03,19.247,21.751,1.12,134.46384,42.01616,3,6
2023-04-15T07:41:02.00Z,50.8499327,3.1457739,-93.457,0.17,-0.02,-0.10,19.040,21.609,1.04,134.46384,42.01840,3,6
2023-04-15T07:41:02.20Z,50.8499314,3.1457755,-93.486,0.12,-0.30,-0.31,18.873,21.498,1.39,134.46384,42.02139,3,6
2023-04-15T07:41:02.40Z,50.8499299,3.1457794,-93.705,0.05,-0.25,-0.12,18.701,21.373,1.33,134.46384,42.02423,3,6
2023-04-15T07:41:02.60Z,50.8499285,3.1457836,-93.889,0.00,-0.20,-0.08,19.937,23.313,1.17,134.46384,42.02674,3,7
2023-04-15T07:41:02.80Z,50.8499261,3.1457875,-93.841,0.04,-0.20,-0.18,19.805,23.238,1.25,134.46384,42.02943,3,7
2023-04-15T07:41:03.00Z,50.8499252,3.1457889,-93.820,0.17,-0.20,-0.32,19.655,23.124,1.27,134.46384,42.03213,3,7
2023-04-15T07:41:03.20Z,50.8499235,3.1457913,-93.810,0.07,-0.14,-0.14,19.514,23.015,1.27,134.46384,42.03486,3,7
2023-04-15T07:41:03.40Z,50.8499223,3.1457899,-93.535,0.03,0.15,-0.04,19.405,22.938,0.77,134.46384,42.03651,3,7
2023-04-15T07:41:03.60Z,50.8499216,3.1457929,-93.727,-0.06,0.08,0.13,19.280,22.831,1.32,134.46384,42.03933,3,7
2023-04-15T07:41:03.80Z,50.8499210,3.1457933,-93.704,0.06,0.02,0.08,19.167,22.742,0.90,134.46384,42.04126,3,7
2023-04-15T07:41:04.00Z,50.8499223,3.1457971,-94.298,0.11,-0.11,0.09,19.085,22.729,0.87,134.46384,42.04313,3,7
2023-04-15T07:41:04.20Z,50.8499212,3.1457981,-94.311,0.10,-0.20,0.09,18.987,22.658,0.92,134.46384,42.04510,3,7
2023-04-15T07:41:04.40Z,50.8499201,3.1457989,-94.319,0.08,-0.15,0.06,18.894,22.586,0.93,134.46384,42.04709,3,7
2023-04-15T07:41:04.60Z,50.8499186,3.1458005,-94.322,-0.02,0.04,0.10,18.806,22.517,1.27,134.46384,42.04982,3,7
2023-04-15T07:41:04.80Z,50.8499167,3.1458013,-94.227,0.00,-0.02,0.16,18.722,22.452,1.00,134.46384,42.05195,3,7
2023-04-15T07:41:05.00Z,50.8499156,3.1458014,-94.221,0.10,-0.06,0.15,18.642,22.389,0.83,134.46384,42.05374,3,7
2023-04-15T07:41:05.20Z,50.8499145,3.1458017,-94.196,0.04,-0.11,0.15,18.565,22.330,0.79,134.46384,42.05542,3,7
2023-04-15T07:41:05.40Z,50.8499138,3.1458014,-94.207,0.20,-0.08,0.21,18.492,22.273,0.83,134.46384,42.05719,3,7
2023-04-15T07:41:05.60Z,50.8499127,3.1458015,-94.187,0.14,0.08,0.36,18.421,22.217,1.04,134.46384,42.05942,3,7
2023-04-15T07:41:05.80Z,50.8499125,3.1458012,-94.265,0.07,0.03,0.34,18.352,22.165,1.06,134.46384,42.06169,3,7
2023-04-15T07:41:06.00Z,50.8499112,3.1458021,-94.210,0.11,0.01,0.37,18.287,22.114,1.00,134.46384,42.06384,3,7
